JC CARD WARS (BALANCEADO);;;;;
Ω Supremo;;;;;
ID;Nome;Universo;AT;DF;Nível
ZETA - CONJUNTO (Cartas de Combo);;;;;
;Nome;Universo;AT;DF;Habilidade
1033;Esferas do Dragão 1;Dragon Ball;—;—;Reúna as 7 Esferas do Dragão, invoque Shenlong e faça um desejo sem limites. As esferas somem da arena após o uso.
1034;Esferas do Dragão 2;Dragon Ball;—;—;Reúna as 7 Esferas do Dragão, invoque Shenlong e faça um desejo sem limites. As esferas somem da arena após o uso.
1035;Esferas do Dragão 3;Dragon Ball;—;—;Reúna as 7 Esferas do Dragão, invoque Shenlong e faça um desejo sem limites. As esferas somem da arena após o uso.
1036;Esferas do Dragão 4;Dragon Ball;—;—;Reúna as 7 Esferas do Dragão, invoque Shenlong e faça um desejo sem limites. As esferas somem da arena após o uso.
1037;Esferas do Dragão 5;Dragon Ball;—;—;Reúna as 7 Esferas do Dragão, invoque Shenlong e faça um desejo sem limites. As esferas somem da arena após o uso.
1038;Esferas do Dragão 6;Dragon Ball;—;—;Reúna as 7 Esferas do Dragão, invoque Shenlong e faça um desejo sem limites. As esferas somem da arena após o uso.
1039;Esferas do Dragão 7;Dragon Ball;—;—;Reúna as 7 Esferas do Dragão, invoque Shenlong e faça um desejo sem limites. As esferas somem da arena após o uso.
1040;Batman 1;DC;6000;6000;Ao combinar as três cartas Batman, invoca um guerreiro supremo com 6.000 PTs.
1041;Batman 2;DC;6000;6000;Ao combinar as três cartas Batman, invoca um guerreiro supremo com 6.000 PTs.
1042;Batman 3;DC;6000;6000;Ao combinar as três cartas Batman, invoca um guerreiro supremo com 6.000 PTs.
;ZETA - JOIAS DO INFINITO (Individualmente Utilizáveis);;;;
;Nome;Universo;AT;DF;Habilidade
1043;Reality Stone;Marvel;—;—;Realiza um pedido limitado à arena e cemitério. Requer um sacrifício por T, a joia é destruída caso não haja sacrifício.
1044;Space Gem;Marvel;—;—;Permite criar portais transferindo cartas na arena. Requer um sacrifício por T, a joia é destruída caso não haja sacrifício.
1045;Mind Stone;Marvel;—;—;Controla a alma de guerreiros vivos ou mortos. Requer um sacrifício por T, a joia é destruída caso não haja sacrifício.
1046;Soul Stone;Marvel;—;—;Revela todas as cartas que o oponente possuir. Requer um sacrifício por T, a joia é destruída caso não haja sacrifício.
1047;Time Stone;Marvel;—;—;Altera o tempo de uma carta, 1x por T. Requer um sacrifício por T, a joia é destruída caso não haja sacrifício.
1048;Power Stone;Marvel;—;—;Iguala os PTs de qualquer carta a outra já usada. Requer um sacrifício por T, a joia é destruída caso não haja sacrifício.
1049;Manopla do Infinito;Marvel;—;—;Atrai todas as Joias da arena e da mão do oponente em 4T. Com 6 joias, concede um pedido limitado a arena. Todas são destruídas após o pedido.
;ZETA - FUSÕES;;;;
;Nome;Universo;AT;DF;Habilidade
1050;Gotenks;Dragon Ball;2800;2500;"Se transforma e pode atacar 2 vezes; Ganha 500 PT e reduz em 20% a DF do alvo."
1051;Gogeta (nao criado ainda);Dragon Ball;5000;4800;Instinto Superior (Kamehameha elimina 1 oponente por T) + Ultra Ego (ao ser atingido resiste e contra-ataca). Dura 3T.
1052;Vegetto;Dragon Ball;5000;4800;Instinto Superior (Esquiva de AT/HB/EF) + Ultra Ego (elimina quem tocar). Dura 3T.
1053;Zamasu Fundido;Dragon Ball;4200;4000;Copia a HB de 1 oponente que ainda não foi ativada. Adicionalmente, gera um escudo com 1000 de DF para o seu lado.
